"Page Title","URL","Title Length","Duplicate Title","Meta Description","Meta Length","Duplicate Meta","GA",
"Talmud Page in a Couple Hundred Words","http://talmudilluminated.com/","37","Yes","Short summaries of each page of the Talmud with illustrations","61","No","No",
"Talmud Page in a Couple Hundred Words","http://talmudilluminated.com/welcome.html","37","Yes","Short summaries of each page of the Talmud with illustrations, work in progress","79","No","No",
"(No Title)","http://talmudilluminated.com/brachot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/shabbat/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/eruvin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/pesachim/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/shekalim/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/yoma/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/sukkah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/beitzah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/rosh_hashanah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/taanit/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/megillah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/chagigah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/yevamot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/ketubot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/nedarim/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/nazir/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/sotah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/gittin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/kiddushin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/bava_kamma/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/bava_metzia/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/bava_batra/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/sanhedrin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/makkot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/shevuot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/horayot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/zevachim/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/menachot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/chullin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/bechorot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/arachin/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/temurah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/keritot/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/meilah/index.html","0","No","Missing Meta Description","0","No","No",
"(No Title)","http://talmudilluminated.com/niddah/index.html","0","No","Missing Meta Description","0","No","No",
"Brachot 2 - Saying the Shema Prayer","http://talmudilluminated.com/brachot/brachot2.html","35","No","Missing Meta Description","0","No","No",
"Brachot 3 - Night Watches","http://talmudilluminated.com/brachot/brachot3.html","25","No","Missing Meta Description","0","No","No",
"Brachot 4 - The Morning of King David","http://talmudilluminated.com/brachot/brachot4.html","37","No","Missing Meta Description","0","No","No",
